"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","23.7013","24.4753","24.5904","22.9669","","-3.13%"
"09/01/2025","24.4680","23.7051","25.3834","23.7051","","3.22%"
"08/01/2025","23.7051","24.7816","24.7969","23.4622","","-4.34%"
"07/01/2025","24.7816","23.8954","25.2439","23.6968","","3.71%"
"06/01/2025","23.8954","23.6816","24.6365","23.5662","","0.90%"
"05/01/2025","23.6816","25.0567","25.8588","23.4983","","-5.49%"
"04/01/2025","25.0567","25.3622","26.7373","24.5555","","-1.20%"
"03/01/2025","25.3622","27.3102","27.9820","24.7541","","-7.13%"
"02/01/2025","27.3102","30.1214","30.7997","26.0879","","-9.33%"
"01/01/2025","30.1214","34.6821","35.1404","29.3346","","-12.97%"
"12/01/2024","34.6118","32.7906","34.6821","29.8999","","6.57%"
"11/01/2024","32.4771","29.7548","34.9876","29.0291","","9.40%"
"10/01/2024","29.6861","28.4179","30.6486","28.3263","","4.68%"
"09/01/2024","28.3601","27.7040","28.8498","26.6114","","2.56%"
"08/01/2024","27.6518","26.3278","29.4568","25.8237","","5.25%"
"07/01/2024","26.2725","26.2065","27.9595","25.9314","","0.44%"
"06/01/2024","26.1571","27.6173","29.4881","24.7730","","-5.09%"
"05/01/2024","27.5611","28.5554","28.9221","26.6854","","-3.29%"
"04/01/2024","28.4973","28.2880","29.2235","27.6306","","0.95%"
"03/01/2024","28.2305","27.8908","28.7177","27.1360","","1.18%"
"02/01/2024","27.9026","27.4859","29.4107","26.8881","","1.72%"
"01/01/2024","27.4299","28.0882","28.4790","26.4489","","1.68%"
"12/01/2023","26.9779","27.3099","28.5601","26.5166","","-1.02%"
"11/01/2023","27.2547","28.3267","28.6173","26.2933","","-3.87%"
"10/01/2023","28.3528","29.7735","31.4239","27.7626","","-4.39%"
"09/01/2023","29.6560","37.9850","39.6158","28.9524","","-21.93%"
"08/01/2023","37.9850","36.3498","40.8888","35.7636","","4.75%"
"07/01/2023","36.2616","34.8452","37.8246","34.7201","","4.06%"
"06/01/2023","34.8452","32.3087","35.8969","31.2997","","8.11%"
"05/01/2023","32.2301","31.8738","33.1735","29.5647","","1.12%"
"04/01/2023","31.8738","30.9023","33.4814","30.4347","","3.40%"
"03/01/2023","30.8270","29.7335","31.9653","28.6308","","3.93%"
"02/01/2023","29.6611","27.9591","30.7257","27.0815","","6.38%"
"01/01/2023","27.8812","29.2197","31.8961","26.1490","","-5.52%"
"12/01/2022","29.5103","24.3518","30.7066","23.8029","","21.18%"
"11/01/2022","24.3518","24.5744","25.4556","23.4489","","-0.91%"
"10/01/2022","24.5744","24.4191","26.4988","22.4764","","3.54%"
"09/01/2022","23.7337","23.9659","26.5232","21.8298","","-0.97%"
"08/01/2022","23.9659","24.6647","26.3409","22.6366","","-2.83%"
"07/01/2022","24.6647","16.2708","27.2446","15.2430","","51.24%"
"06/01/2022","16.3078","18.5984","20.0100","14.5687","","-12.32%"
"05/01/2022","18.5984","21.8255","22.0173","15.9325","","-14.79%"
"04/01/2022","21.8255","24.8708","27.7861","20.4333","","-13.05%"
"03/01/2022","25.1010","32.8727","51.1158","23.9576","","-26.42%"
"02/01/2022","34.1152","29.7375","41.8590","29.0504","","15.04%"
"01/01/2022","29.6549","29.2144","30.7395","28.8284","","1.38%"
"12/01/2021","29.2507","29.0138","29.5338","28.8238","","1.03%"
"11/01/2021","28.9531","29.2826","30.2335","28.9317","","-0.39%"
"10/01/2021","29.0670","28.9496","29.3741","28.6175","","0.57%"
"09/01/2021","28.9027","29.3239","29.7001","28.8952","","-0.94%"
"08/01/2021","29.1758","29.2952","29.6908","28.8372","","-0.15%"
"07/01/2021","29.2208","28.8372","29.5461","28.7020","","1.80%"
"06/01/2021","28.7055","29.0131","29.1665","28.4556","","-0.73%"
"05/01/2021","28.9160","29.3852","29.5598","28.7892","","-1.24%"
"04/01/2021","29.2793","28.8275","29.7446","28.6689","","1.75%"
"03/01/2021","28.7757","28.7483","29.1514","27.9757","","1.09%"
"02/01/2021","28.4668","28.9440","29.0553","28.1019","","-1.32%"
"01/01/2021","28.8462","28.3023","29.6273","28.1378","","1.81%"
"12/01/2020","28.3326","29.4801","29.9785","28.2240","","-3.52%"
"11/01/2020","29.3649","30.2612","30.5497","29.2847","","-2.68%"
"10/01/2020","30.1726","29.7903","30.6502","29.5152","","1.62%"
"09/01/2020","29.6904","27.8759","30.3090","27.7094","","7.14%"
"08/01/2020","27.7111","30.1790","30.3888","27.5949","","-8.20%"
"07/01/2020","30.1855","29.3575","30.3649","28.9260","","3.07%"
"06/01/2020","29.2858","29.1332","29.6502","28.4612","","0.96%"
"05/01/2020","29.0085","30.6496","31.4408","29.0488","","-4.75%"
"04/01/2020","30.4542","30.3782","31.1488","29.0110","","0.54%"
"03/01/2020","30.2893","29.8913","32.8385","29.2577","","2.20%"
"02/01/2020","29.6377","29.8372","30.2292","28.6866","","-0.50%"
"01/01/2020","29.7863","29.3930","29.8604","28.7178","","1.41%"
"12/01/2019","29.3720","30.4671","30.5932","29.2999","","-3.38%"
"11/01/2019","30.3987","31.1861","31.3812","30.0671","","-2.38%"
"10/01/2019","31.1386","31.1858","31.5418","30.9697","","0.01%"
"09/01/2019","31.1364","31.8346","31.9216","30.7850","","-1.92%"
"08/01/2019","31.7462","31.3106","32.6073","31.1262","","1.57%"
"07/01/2019","31.2565","31.1820","31.3841","30.7420","","1.25%"
"06/01/2019","30.8699","31.2837","31.3454","30.6915","","-1.10%"
"05/01/2019","31.2147","30.6427","31.3088","30.6047","","2.09%"
"04/01/2019","30.5752","30.7985","30.8253","30.3195","","-0.60%"
"03/01/2019","30.7588","30.8155","31.0898","30.1790","","-0.05%"
"02/01/2019","30.7741","30.4118","30.9146","30.2231","","1.36%"
"01/01/2019","30.3620","32.1624","32.2199","30.2363","","-5.45%"
"12/01/2018","32.1106","31.4396","32.5261","30.9919","","2.42%"
"11/01/2018","31.3511","31.0310","31.9366","30.9009","","1.20%"
"10/01/2018","30.9807","31.0092","31.2972","30.6096","","0.11%"
"09/01/2018","30.9461","32.3820","32.7382","30.8967","","-4.14%"
"08/01/2018","32.2830","31.4415","33.8797","31.3650","","2.90%"
"07/01/2018","31.3735","31.7390","32.0369","31.2292","","-0.54%"
"06/01/2018","31.5426","30.9326","31.9185","30.7423","","2.24%"
"05/01/2018","30.8509","31.4797","31.8807","30.5534","","-1.47%"
"04/01/2018","31.3115","29.3871","31.6413","29.2264","","6.81%"
"03/01/2018","29.3154","28.7868","29.6843","28.6414","","2.01%"
"02/01/2018","28.7378","28.3316","29.3606","28.2901","","1.50%"
"01/01/2018","28.3130","29.2256","29.2278","27.9674","","-2.99%"
"12/01/2017","29.1863","29.0635","29.4084","28.8139","","0.65%"
"11/01/2017","28.9976","29.5478","30.2014","28.9674","","-1.66%"
"10/01/2017","29.4877","29.4563","29.8158","28.9547","","0.43%"
"09/01/2017","29.3628","30.1356","30.4643","29.2591","","-2.33%"
"08/01/2017","30.0643","30.8743","31.1435","29.9953","","-2.46%"
"07/01/2017","30.8241","30.3715","30.9932","30.1382","","1.62%"
"06/01/2017","30.3324","30.3865","31.3750","30.2175","","-0.03%"
"05/01/2017","30.3415","30.4438","31.2328","30.0905","","-0.10%"
"04/01/2017","30.3718","29.9769","30.5688","29.6325","","1.43%"
"03/01/2017","29.9444","30.9205","31.5701","29.7027","","-2.87%"
"02/01/2017","30.8295","31.1241","31.2672","30.1723","","-0.70%"
"01/01/2017","31.0483","31.2787","31.4566","30.0498","","-0.57%"
