"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","0.2933","0.2953","0.2955","0.2933","","-0.64%"
"09/01/2025","0.2952","0.2967","0.2967","0.2951","","-0.51%"
"08/01/2025","0.2967","0.3056","0.3057","0.2939","","-2.91%"
"07/01/2025","0.3056","0.3056","0.3057","0.3056","","0.00%"
"06/01/2025","0.3056","0.3056","0.3064","0.3056","","0.00%"
"05/01/2025","0.3056","0.3056","0.3059","0.3056","","0.00%"
"04/01/2025","0.3056","0.3056","0.3058","0.3056","","0.00%"
"03/01/2025","0.3056","0.3056","0.3058","0.3056","","0.00%"
"02/01/2025","0.3056","0.3056","0.3059","0.3056","","0.00%"
"01/01/2025","0.3056","0.3056","0.3064","0.3056","","0.20%"
"12/01/2024","0.3050","0.3058","0.3059","0.3056","","0.00%"
"11/01/2024","0.3050","0.3056","0.3059","0.3056","","0.03%"
"10/01/2024","0.3049","0.3056","0.3059","0.3056","","-0.03%"
"09/01/2024","0.3050","0.3056","0.3059","0.3056","","-0.03%"
"08/01/2024","0.3051","0.3056","0.3081","0.3056","","0.03%"
"07/01/2024","0.3050","0.3056","0.3059","0.3055","","-0.03%"
"06/01/2024","0.3051","0.3056","0.3064","0.3056","","0.03%"
"05/01/2024","0.3050","0.3056","0.3059","0.3056","","0.00%"
"04/01/2024","0.3050","0.3056","0.3068","0.3056","","0.00%"
"03/01/2024","0.3050","0.3056","0.3068","0.3035","","0.00%"
"02/01/2024","0.3050","0.3056","0.3067","0.3035","","0.00%"
"01/01/2024","0.3050","0.3147","0.3151","0.3023","","0.89%"
"12/01/2023","0.3023","0.3035","0.3147","0.3016","","-0.20%"
"11/01/2023","0.3029","0.3035","0.3059","0.3022","","0.00%"
"10/01/2023","0.3029","0.3038","0.3045","0.3020","","0.10%"
"09/01/2023","0.3026","0.3961","0.4017","0.3022","","-23.43%"
"08/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"07/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"06/01/2023","0.3952","0.3961","0.4008","0.3961","","0.00%"
"05/01/2023","0.3952","0.3961","0.4017","0.3961","","0.00%"
"04/01/2023","0.3952","0.3961","0.4017","0.3954","","0.00%"
