region,date,price
Беларусь,2017-01-01,0.4067168230000001
Брестская,2017-01-01,0.36597500000000005
Витебская,2017-01-01,0.39856
Гомельская,2017-01-01,0.398695
Гродненская,2017-01-01,0.32798
г. Минск,2017-01-01,0.48310000000000003
Минская,2017-01-01,0.38720000000000004
Могилевская,2017-01-01,0.36984
Беларусь,2017-02-01,0.43605345249999994
Брестская,2017-02-01,0.423475
Витебская,2017-02-01,0.42588800000000004
Гомельская,2017-02-01,0.421492
Гродненская,2017-02-01,0.35517
г. Минск,2017-02-01,0.5114000000000001
Минская,2017-02-01,0.4007
Могилевская,2017-02-01,0.40364999999999995
Беларусь,2017-03-01,0.4674823335000001
Брестская,2017-03-01,0.448075
Витебская,2017-03-01,0.4612200000000001
Гомельская,2017-03-01,0.46097
Гродненская,2017-03-01,0.40160000000000007
г. Минск,2017-03-01,0.5366000000000001
Минская,2017-03-01,0.43110000000000004
Могилевская,2017-03-01,0.431045
Беларусь,2017-04-01,0.609330664
Брестская,2017-04-01,0.552475
Витебская,2017-04-01,0.5410880000000001
Гомельская,2017-04-01,0.555343
Гродненская,2017-04-01,0.49857500000000005
г. Минск,2017-04-01,0.7602
Минская,2017-04-01,0.5825
Могилевская,2017-04-01,0.5596000000000001
Беларусь,2017-05-01,0.8243080455
Брестская,2017-05-01,0.7785500000000001
Витебская,2017-05-01,0.8408000000000001
Гомельская,2017-05-01,0.7692330000000001
Гродненская,2017-05-01,0.728205
г. Минск,2017-05-01,0.9578000000000001
Минская,2017-05-01,0.7849
Могилевская,2017-05-01,0.7114100000000001
Беларусь,2017-06-01,1.200864381
Брестская,2017-06-01,1.2602250000000002
Витебская,2017-06-01,1.6676
Гомельская,2017-06-01,1.095609
Гродненская,2017-06-01,0.99189
г. Минск,2017-06-01,1.2371
Минская,2017-06-01,1.139
Могилевская,2017-06-01,0.909695
Беларусь,2017-07-01,1.040397301
Брестская,2017-07-01,0.9420250000000001
Витебская,2017-07-01,1.1032
Гомельская,2017-07-01,1.132743
Гродненская,2017-07-01,0.9483250000000001
г. Минск,2017-07-01,1.1114
Минская,2017-07-01,1.0207
Могилевская,2017-07-01,0.8797649999999999
Беларусь,2017-08-01,0.634247024
Брестская,2017-08-01,0.5357500000000001
Витебская,2017-08-01,0.684944
Гомельская,2017-08-01,0.624182
Гродненская,2017-08-01,0.55192
г. Минск,2017-08-01,0.7049000000000001
Минская,2017-08-01,0.6675
Могилевская,2017-08-01,0.545255
Беларусь,2017-09-01,0.5297081735
Брестская,2017-09-01,0.46077500000000005
Витебская,2017-09-01,0.5528
Гомельская,2017-09-01,0.47432
Гродненская,2017-09-01,0.43586500000000006
г. Минск,2017-09-01,0.6212
Минская,2017-09-01,0.5513
Могилевская,2017-09-01,0.46933500000000006
Беларусь,2017-10-01,0.4761364505000001
Брестская,2017-10-01,0.39715
Витебская,2017-10-01,0.4968
Гомельская,2017-10-01,0.39606300000000005
Гродненская,2017-10-01,0.417735
г. Минск,2017-10-01,0.5911000000000001
Минская,2017-10-01,0.4567
Могилевская,2017-10-01,0.418115
Беларусь,2017-11-01,0.4716216415
Брестская,2017-11-01,0.43012500000000004
Витебская,2017-11-01,0.49360000000000004
Гомельская,2017-11-01,0.41296199999999994
Гродненская,2017-11-01,0.400075
г. Минск,2017-11-01,0.5549000000000001
Минская,2017-11-01,0.4616
Могилевская,2017-11-01,0.42791
Беларусь,2017-12-01,0.4974483880000001
Брестская,2017-12-01,0.45060000000000006
Витебская,2017-12-01,0.5168
Гомельская,2017-12-01,0.427338
Гродненская,2017-12-01,0.410995
г. Минск,2017-12-01,0.6061000000000001
Минская,2017-12-01,0.4713
Могилевская,2017-12-01,0.445125
Беларусь,2018-01-01,0.57
Брестская,2018-01-01,0.5
Витебская,2018-01-01,0.56
Гомельская,2018-01-01,0.48
Гродненская,2018-01-01,0.47
г. Минск,2018-01-01,0.75
Минская,2018-01-01,0.51
Могилевская,2018-01-01,0.51
Беларусь,2018-02-01,0.65
Брестская,2018-02-01,0.61
Витебская,2018-02-01,0.64
Гомельская,2018-02-01,0.59
Гродненская,2018-02-01,0.55
г. Минск,2018-02-01,0.76
Минская,2018-02-01,0.62
Могилевская,2018-02-01,0.6
Беларусь,2018-03-01,0.76
Брестская,2018-03-01,0.74
Витебская,2018-03-01,0.72
Гомельская,2018-03-01,0.65
Гродненская,2018-03-01,0.68
г. Минск,2018-03-01,0.91
Минская,2018-03-01,0.73
Могилевская,2018-03-01,0.68
Беларусь,2018-04-01,0.81
Брестская,2018-04-01,0.71
Витебская,2018-04-01,0.76
Гомельская,2018-04-01,0.68
Гродненская,2018-04-01,0.75
г. Минск,2018-04-01,0.99
Минская,2018-04-01,0.78
Могилевская,2018-04-01,0.7
Беларусь,2018-05-01,0.69
Брестская,2018-05-01,0.63
Витебская,2018-05-01,0.69
Гомельская,2018-05-01,0.62
Гродненская,2018-05-01,0.62
г. Минск,2018-05-01,0.82
Минская,2018-05-01,0.69
Могилевская,2018-05-01,0.58
Беларусь,2018-06-01,0.93
Брестская,2018-06-01,1.16
Витебская,2018-06-01,0.76
Гомельская,2018-06-01,0.95
Гродненская,2018-06-01,0.57
г. Минск,2018-06-01,1.17
Минская,2018-06-01,0.89
Могилевская,2018-06-01,0.6
Беларусь,2018-07-01,0.86
Брестская,2018-07-01,0.8
Витебская,2018-07-01,0.8
Гомельская,2018-07-01,0.75
Гродненская,2018-07-01,0.77
г. Минск,2018-07-01,1.05
Минская,2018-07-01,0.83
Могилевская,2018-07-01,0.77
Беларусь,2018-08-01,0.67
Брестская,2018-08-01,0.64
Витебская,2018-08-01,0.66
Гомельская,2018-08-01,0.54
Гродненская,2018-08-01,0.6
г. Минск,2018-08-01,0.81
Минская,2018-08-01,0.68
Могилевская,2018-08-01,0.58
Беларусь,2018-09-01,0.56
Брестская,2018-09-01,0.51
Витебская,2018-09-01,0.55
Гомельская,2018-09-01,0.49
Гродненская,2018-09-01,0.5
г. Минск,2018-09-01,0.67
Минская,2018-09-01,0.56
Могилевская,2018-09-01,0.5
Беларусь,2018-10-01,0.57
Брестская,2018-10-01,0.48
Витебская,2018-10-01,0.56
Гомельская,2018-10-01,0.46
Гродненская,2018-10-01,0.47
г. Минск,2018-10-01,0.7
Минская,2018-10-01,0.59
Могилевская,2018-10-01,0.51
Беларусь,2018-11-01,0.57
Брестская,2018-11-01,0.52
Витебская,2018-11-01,0.58
Гомельская,2018-11-01,0.5
Гродненская,2018-11-01,0.49
г. Минск,2018-11-01,0.67
Минская,2018-11-01,0.58
Могилевская,2018-11-01,0.53
Беларусь,2018-12-01,0.61
Брестская,2018-12-01,0.55
Витебская,2018-12-01,0.6
Гомельская,2018-12-01,0.55
Гродненская,2018-12-01,0.5
г. Минск,2018-12-01,0.73
Минская,2018-12-01,0.63
Могилевская,2018-12-01,0.57
Беларусь,2019-02-01,0.67
Брестская,2019-02-01,0.64
Витебская,2019-02-01,0.67
Гомельская,2019-02-01,0.6
Гродненская,2019-02-01,0.59
г. Минск,2019-02-01,0.77
Минская,2019-02-01,0.7
Могилевская,2019-02-01,0.61
Беларусь,2019-03-01,0.68
Брестская,2019-03-01,0.62
Витебская,2019-03-01,0.63
Гомельская,2019-03-01,0.65
Гродненская,2019-03-01,0.57
г. Минск,2019-03-01,0.8
Минская,2019-03-01,0.67
Могилевская,2019-03-01,0.6
Беларусь,2019-04-01,0.71
Брестская,2019-04-01,0.67
Витебская,2019-04-01,0.68
Гомельская,2019-04-01,0.68
Гродненская,2019-04-01,0.63
г. Минск,2019-04-01,0.82
Минская,2019-04-01,0.74
Могилевская,2019-04-01,0.62
Беларусь,2019-05-01,0.81
Брестская,2019-05-01,0.78
Витебская,2019-05-01,0.84
Гомельская,2019-05-01,0.78
Гродненская,2019-05-01,0.65
г. Минск,2019-05-01,0.91
Минская,2019-05-01,0.82
Могилевская,2019-05-01,0.73
Беларусь,2019-06-01,1.26
Брестская,2019-06-01,1.53
Витебская,2019-06-01,1.33
Гомельская,2019-06-01,1.14
Гродненская,2019-06-01,1.09
г. Минск,2019-06-01,1.31
Минская,2019-06-01,1.37
Могилевская,2019-06-01,0.9
Беларусь,2019-07-01,1.16
Брестская,2019-07-01,1.15
Витебская,2019-07-01,1.14
Гомельская,2019-07-01,1.12
Гродненская,2019-07-01,1.11
г. Минск,2019-07-01,1.24
Минская,2019-07-01,1.21
Могилевская,2019-07-01,0.97
Беларусь,2019-08-01,0.86
Брестская,2019-08-01,0.87
Витебская,2019-08-01,0.84
Гомельская,2019-08-01,0.76
Гродненская,2019-08-01,0.73
г. Минск,2019-08-01,1.0
Минская,2019-08-01,0.83
Могилевская,2019-08-01,0.74
Беларусь,2019-09-01,0.69
Брестская,2019-09-01,0.68
Витебская,2019-09-01,0.68
Гомельская,2019-09-01,0.62
Гродненская,2019-09-01,0.61
г. Минск,2019-09-01,0.84
Минская,2019-09-01,0.64
Могилевская,2019-09-01,0.55
Беларусь,2019-10-01,0.67
Брестская,2019-10-01,0.67
Витебская,2019-10-01,0.63
Гомельская,2019-10-01,0.6
Гродненская,2019-10-01,0.57
г. Минск,2019-10-01,0.79
Минская,2019-10-01,0.66
Могилевская,2019-10-01,0.6
Беларусь,2019-11-01,0.67
Брестская,2019-11-01,0.67
Витебская,2019-11-01,0.62
Гомельская,2019-11-01,0.59
Гродненская,2019-11-01,0.56
г. Минск,2019-11-01,0.79
Минская,2019-11-01,0.65
Могилевская,2019-11-01,0.59
Беларусь,2019-12-01,0.68
Брестская,2019-12-01,0.69
Витебская,2019-12-01,0.65
Гомельская,2019-12-01,0.59
Гродненская,2019-12-01,0.57
г. Минск,2019-12-01,0.82
Минская,2019-12-01,0.66
Могилевская,2019-12-01,0.6
Беларусь,2020-01-01,0.7
Брестская,2020-01-01,0.7
Витебская,2020-01-01,0.65
Гомельская,2020-01-01,0.58
Гродненская,2020-01-01,0.59
г. Минск,2020-01-01,0.84
Минская,2020-01-01,0.7
Могилевская,2020-01-01,0.62
Беларусь,2020-02-01,0.7
Брестская,2020-02-01,0.71
Витебская,2020-02-01,0.67
